prioritas_cek;Kode Barang;Nama Barang;Kategori Barang;is_event_driven;catatan;pct_hari_nol;adi_rata2;rata2_saat_bergerak;jml_cabang;total_kuantitas
1;FGS-00018;Kambing Kebuli Aqiqah Betina - FG;Barang Jadi (FG);true;DIKONFIRMASI pemilik data 2026-08-16: memang lewat pesanan (aqiqah);98.6;85.9;85.1;34;16080
1;FGS-00034;Kambing Kebuli Aqiqah Jantan - FG;Barang Jadi (FG);true;DIKONFIRMASI pemilik data 2026-08-16: memang lewat pesanan (aqiqah);99.2;132.5;90.0;1;180
1;PCG-00002;Lunch Box Aqiqah;Packaging;true;DIKONFIRMASI pemilik data 2026-08-16: memang lewat pesanan (aqiqah);98.2;75.0;69.3;41;21349
1;PCG-00003;Loyang Mini;Packaging;false;DIPUTUSKAN dari bukti data 2026-08-16: rutin harian, ko-okurensi dgn aqiqah 0,9% (baseline 0,84%). Paket tetap dgn PCG-00006 (100%) & PCG-00011 (2x, 99,9%);28.4;1.6;3.2;59;85898
1;PCG-00004;Loyang Sedang;Packaging;false;DIPUTUSKAN dari bukti data 2026-08-16: rutin harian, ko-okurensi dgn aqiqah 1,0% (baseline 0,84%). Paket tetap dgn PCG-00007 (100%) & PCG-00012 (2x, 100%);38.1;2.0;3.0;58;68427
1;PCG-00005;Loyang Besar;Packaging;false;DIPUTUSKAN dari bukti data 2026-08-16: rutin harian, ko-okurensi dgn aqiqah 1,4% (baseline 0,84%). Ukuran kurang laku dari produk harian yg sama - bergerak di 80,7% branch-day yg sama dgn Loyang Sedang, bukan barang acara;79.8;7.5;1.8;58;13240
1;PCG-00006;Box Loyang Mini;Packaging;false;DIPUTUSKAN dari bukti data 2026-08-16: identik dgn PCG-00003 di 100% branch-day aktif (total sama persis 85.898 unit) - komponen paket, bukan seri terpisah;28.4;1.6;3.2;59;85898
1;PCG-00007;Box Loyang Sedang;Packaging;false;DIPUTUSKAN dari bukti data 2026-08-16: identik dgn PCG-00004 di 100% branch-day aktif - komponen paket, bukan seri terpisah;38.1;2.0;3.0;58;68468
1;PCG-00008;Box Loyang Besar;Packaging;false;DIPUTUSKAN dari bukti data 2026-08-16: identik dgn PCG-00005 di 99,9% branch-day aktif - komponen paket, bukan seri terpisah;79.8;7.5;1.8;58;13230
1;PCG-00011;Cup Sambal Loyang Mini;Packaging;false;DIPUTUSKAN dari bukti data 2026-08-16: tepat 2x PCG-00003 di 99,9% branch-day aktif (total 171.896 = 2x85.898) - komponen paket, bukan seri terpisah;28.4;1.6;6.5;59;171896
1;PCG-00012;Cup Sambal Loyang Sedang;Packaging;false;DIPUTUSKAN dari bukti data 2026-08-16: tepat 2x PCG-00004 di 100% branch-day aktif - komponen paket, bukan seri terpisah;38.1;2.0;6.1;58;136809
1;PCG-00013;Cup Sambal Loyang Besar;Packaging;false;DIPUTUSKAN dari bukti data 2026-08-16: tepat 2x PCG-00005 di 99,9% branch-day aktif - komponen paket, bukan seri terpisah;79.8;7.5;3.7;58;26493
1;PCG-00027;Mika Bento;Packaging;true;"DIPUTUSKAN dari bukti data 2026-08-16: 93% volume jatuh di hari yg sama dgn SKU aqiqah (median 60 unit; di hari non-aqiqah median 1 unit). Lift 61x thd baseline 0,84%";97.1;58.6;38.5;45;22895
1;PCG-00028;Cup 60 ml;Packaging;true;DIPUTUSKAN dari bukti data 2026-08-16: 100% hari geraknya (197/197) & 100% volume ko-okur dgn SKU aqiqah - komponen paket aqiqah. Lift 118x thd baseline 0,84%;98.6;88.3;84.3;35;16600
2;RMT-00017;Saffron Basmati @1kg (RM);Bahan Baku (RM);false;Jarang bergerak tapi satuan (rata2 ~1-2 pcs) = barang lambat laku, bukan pesanan acara;94.9;25.1;1.4;41;809
2;WIP-00009;Rabeg;Barang Dalam Process (WIP-1);false;Jarang bergerak tapi satuan (rata2 ~1-2 pcs) = barang lambat laku, bukan pesanan acara;90.5;14.6;1.5;58;4629
2;FGS-00049;Iga Dino - FG;Barang Jadi (FG);false;Jarang bergerak tapi satuan (rata2 ~1-2 pcs) = barang lambat laku, bukan pesanan acara;95.9;26.4;1.3;11;49
