Kode Barang;unit_cost;unit_margin;shelf_life_days;salvage_value_ratio;cost_source;cost_confidence;last_updated;shelf_life_rank_override
FGS-00001;;;1;0.3;estimasi_tim_scm;rendah;2026-08-22;
FGS-00002;;;;;;rendah;;
FGS-00003;;;;;;rendah;;
FGS-00004;;;;;;rendah;;
FGS-00005;;;;;;rendah;;
FGS-00006;;;;;;rendah;;
FGS-00007;;;;;;rendah;;
FGS-00008;;;;;;rendah;;
FGS-00009;;;;;;rendah;;
FGS-00011;;;;;estimasi_umum;rendah;2026-08-22;3
FGS-00012;;;;;estimasi_umum;rendah;2026-08-22;4
FGS-00013;;;;;estimasi_umum;rendah;2026-08-22;4
FGS-00014;;;;;;rendah;;
FGS-00015;;;;;;rendah;;
FGS-00017;;;;;;rendah;;
FGS-00018;;;;;;rendah;;
FGS-00034;;;;;;rendah;;
FGS-00035;;;;;;rendah;;
FGS-00037;;;;;;rendah;;
FGS-00038;;;;;;rendah;;
FGS-00039;;;;;;rendah;;
FGS-00040;;;;;;rendah;;
FGS-00041;;;;;;rendah;;
FGS-00042;;;;;;rendah;;
FGS-00043;;;;;;rendah;;
FGS-00044;;;;;;rendah;;
FGS-00045;;;;;;rendah;;
FGS-00046;;;;;;rendah;;
FGS-00047;;;;;;rendah;;
FGS-00048;;;;;;rendah;;
FGS-00049;;;;;;rendah;;
FGS-00050;;;;;;rendah;;
FGS-00051;;;;;;rendah;;
FGS-00052;;;;;;rendah;;
FGS-00053;;;;;;rendah;;
FGS-00054;;;;;estimasi_umum;rendah;2026-08-22;3
FGS-00055;;;;;;rendah;;
FGS-00056;;;;;;rendah;;
FGS-00065;;;;;estimasi_umum;rendah;2026-08-22;3
FGS-00069;;;;;;rendah;;
FGS-00070;;;;;;rendah;;
FGS-00071;;;;;;rendah;;
FGS.00048;;;;;;rendah;;
FGS.00053;;;;;;rendah;;
FGS.00055;;;;;estimasi_umum;rendah;2026-08-22;4
FGS.00056;;;;;estimasi_umum;rendah;2026-08-22;4
Kalender;;;365;;;rendah;;
PCG-00001;;;365;0;harga_pasar_langsung;tinggi;2026-08-22;
PCG-00002;;;365;;;rendah;;
PCG-00003;;;365;;;rendah;;
PCG-00004;;;365;;;rendah;;
PCG-00005;;;365;;;rendah;;
PCG-00006;;;365;;;rendah;;
PCG-00007;;;365;;;rendah;;
PCG-00008;;;365;;;rendah;;
PCG-00009;;;365;;;rendah;;
PCG-00010;;;365;;;rendah;;
PCG-00011;;;365;;;rendah;;
PCG-00012;;;365;;;rendah;;
PCG-00013;;;365;;;rendah;;
PCG-00021;;;365;;;rendah;;
PCG-00024;;;365;;;rendah;;
PCG-00027;;;365;;;rendah;;
PCG-00028;;;365;;;rendah;;
PCG-00030;;;365;;;rendah;;
PCG-00036;;;365;;;rendah;;
PCG-00038;;;365;;;rendah;;
PCG-00044;;;365;;;rendah;;
RMT-00017;;;180;0;harga_pasar_langsung;sedang;2026-08-22;
WIP-00009;;;;;;rendah;;
