Nama Cabang;Nama Outlet;Kota Override
KY001 - Kebuli Yaman Kutabumi (Pusat);KY001 - Kebuli Yaman Kutabumi (Pusat);Kabupaten Tangerang
KY010 - Kebuli Yaman Bogor Ciampea;KY010 - Kebuli Yaman Bogor Ciampea;Kabupaten Bogor
KY012 - Kebuli Yaman Cibinong;KY012 - Kebuli Yaman Cibinong;Kabupaten Bogor
KY021 - Kebuli Yaman Cikeas;KY021 - Kebuli Yaman Cikeas;Kabupaten Bogor
KY016 - Kebuli Yaman Jatimakmur;KY016 - Kebuli Yaman Jatimakmur;Kota Bekasi
KY036 - Kebuli Yaman Kota Harapan Indah;KY036 - Kebuli Yaman Kota Harapan Indah;Kota Bekasi
KY041 - Kebuli Yaman Sepatan;KY041 - Kebuli Yaman Sepatan;Kabupaten Tangerang
KY057 - Kebuli Yaman Rawalumbu (Bekasi);KY057 - Kebuli Yaman Rawalumbu (Bekasi);Kota Bekasi
KY069 - Kebuli Yaman Bekasi Galaxy;KY011 - Kebuli Yaman Bekasi Galaxy;Kota Bekasi
TOD M1 Bandara;KY051 - kebuli Yaman TOD M1 Bandara;Kota Tangerang
KY020 - Kebuli Yaman Tambun;Kebuli Yaman Mayor Oking;Kabupaten Bogor
KY035 - Kebuli Yaman Antapani;KY056 - Kebuli Yaman Tigaraksa;Kabupaten Tangerang
KY046 - Kebuli Yaman Aryana Karawaci;Kebuli Yaman Cadas;Kabupaten Tangerang
KY047 - Kebuli Yaman Ciomas;Kebuli Yaman Cikarang Pusat;Kabupaten Bekasi
KY052 - Kebuli Yaman Bantarjati Bogor;Kebuli Yaman Teluk Pucung;Kota Bekasi
KY059 - Kebuli Yaman Dukuh Zamrud;Kebuli Yaman Bukit Gading Balaraja;Kabupaten Tangerang
KY055 - Kebuli Yaman Ciputat Timur;Kebuli Yaman Citayam;Kota Depok
KY028 - Kebuli Yaman Condet;Kebuli Yaman Grand Wisata Bekasi;Kota Bekasi
KY029 - Kebuli Yaman Cinere;Kebuli Yaman Bintara;Kota Bekasi
